지역, 온도, 날씨, 강수량
강릉,11.6,맑음,1.9
강진군,16.5,맑음, 
강화,14.6,맑음, 
거제,16.2,맑음, 
거창,15.4,맑음, 
경주시,16.4,맑음, 
고산,16.2,맑음, 
고창,16.3,맑음, 
고창군,15.4,맑음, 
고흥,16.1,맑음, 
광양시,17.7,맑음, 
광주,16.0,맑음, 
구미,14.6,맑음, 
군산,15.5,맑음, 
금산,15.0,맑음, 
김해시,19.9,맑음, 
남원,15.3,맑음, 
남해,16.3,맑음, 
대관령,4.9,맑음,1.4
대구,16.6,구름조금, 
대전,15.1,맑음, 
동두천,15.5,맑음, 
동해,11.4,맑음,0.8
목포,15.4,맑음, 
문경,15.0,맑음, 
밀양,17.2,맑음, 
백령도,13.6,맑음, 
보령,15.8,맑음, 
보성군,17.4,맑음, 
보은,14.5,맑음, 
봉화,11.1,맑음,0.0
부산,18.6,구름조금, 
부안,15.9,맑음, 
부여,16.1,맑음, 
북강릉,10.0,약한 비 연속적,2.5
북창원,17.4,맑음, 
북춘천,14.8,구름조금, 
산청,15.7,맑음, 
상주,15.6,맑음, 
서귀포,17.9,맑음, 
서산,15.3,맑음, 
서울,16.0,맑음, 
성산,16.9,맑음, 
세종,14.2,맑음, 
속초,12.9,맑음,0.0
수원,16.4,맑음, 
순창군,15.9,맑음, 
순천,16.9,맑음, 
안동,14.6,구름많음, 
양산시,18.6,맑음, 
양평,15.7,맑음, 
여수,15.6,맑음, 
영광군,15.5,맑음, 
영덕,16.0,맑음, 
영월,14.5,맑음, 
영주,14.7,맑음, 
영천,16.2,맑음, 
완도,16.7,맑음, 
울릉도,12.9,구름많음,0.7
울산,14.4,비 끝,0.0
울진,14.6,맑음,1.5
원주,15.3,맑음, 
의령군,18.0,맑음, 
의성,16.0,맑음, 
이천,15.8,맑음, 
인제,13.5,맑음, 
인천,15.8,맑음, 
임실,15.4,맑음, 
장수,14.2,맑음, 
장흥,17.3,맑음, 
전주,15.8,맑음, 
정선군,11.1,맑음,0.3
정읍,15.4,맑음, 
제주,17.5,구름조금, 
제천,12.4,맑음, 
진도군,16.2,맑음, 
창원,16.4,맑음, 
천안,14.8,맑음, 
철원,14.7,맑음, 
청송군,14.4,맑음, 
청주,15.1,맑음, 
추풍령,13.0,맑음, 
춘천,15.4,맑음, 
충주,15.7,맑음, 
태백,7.0,맑음,0.5
통영,16.8,맑음, 
파주,15.7,맑음, 
포항,15.6,구름많음,0.0
함양군,15.8,맑음, 
합천,16.3,맑음, 
해남,17.1,맑음, 
홍성,15.6,맑음, 
홍천,13.7,맑음, 
흑산도,15.2,맑음, 
